timestamp,response_time,http_code,result,payload_type,is_allowed,blocking_findings,non_blocking_findings,user_id
1741553954763,96.55308723449707,200,BLOCKED,real,False,1,1,1
1741553954813,55.84907531738281,200,ALLOWED,dummy,True,0,2,2
1741553954863,36.72289848327637,200,BLOCKED,real,False,1,1,3
1741553954910,34.26098823547363,200,ALLOWED,dummy,True,0,2,1
1741553954919,30.469894409179688,200,ALLOWED,clean,True,0,0,2
1741553954913,49.424171447753906,200,BLOCKED,real,False,1,1,4
1741553954950,34.253597259521484,200,BLOCKED,real,False,1,1,3
1741553954963,30.534982681274414,200,BLOCKED,real,False,1,1,5
1741553955000,38.18392753601074,200,ALLOWED,clean,True,0,0,2
1741553954994,65.99903106689453,200,BLOCKED,real,False,1,1,1
1741553955014,53.67875099182129,200,ALLOWED,clean,True,0,0,6
1741553955013,55.330753326416016,200,ALLOWED,clean,True,0,0,4
1741553955044,39.1077995300293,200,ALLOWED,dummy,True,0,2,5
1741553955035,50.43196678161621,200,ALLOWED,clean,True,0,0,3
1741553955064,34.440040588378906,200,ALLOWED,dummy,True,0,2,7
1741553955088,33.8442325592041,200,BLOCKED,real,False,1,1,2
1741553955110,34.29722785949707,200,ALLOWED,dummy,True,0,2,1
1741553955114,58.38203430175781,200,ALLOWED,dummy,True,0,2,8
1741553955118,58.48097801208496,200,ALLOWED,clean,True,0,0,6
1741553955119,79.82420921325684,200,ALLOWED,clean,True,0,0,4
1741553955135,91.3698673248291,200,ALLOWED,clean,True,0,0,3
1741553955134,113.09814453125,200,BLOCKED,real,False,1,1,5
1741553955149,100.76498985290527,200,ALLOWED,dummy,True,0,2,7
1741553955196,76.9200325012207,200,ALLOWED,dummy,True,0,2,1
1741553955172,100.68297386169434,200,BLOCKED,real,False,1,1,2
1741553955165,136.67917251586914,200,BLOCKED,real,False,1,1,9
1741553955226,76.26605033874512,200,ALLOWED,clean,True,0,0,6
1741553955223,91.13287925720215,200,ALLOWED,clean,True,0,0,8
1741553955249,69.14091110229492,200,BLOCKED,real,False,1,1,4
1741553955215,118.08371543884277,200,BLOCKED,real,False,1,1,10
1741553955265,73.54593276977539,200,ALLOWED,clean,True,0,0,11
1741553955277,90.01684188842773,200,BLOCKED,real,False,1,1,3
1741553955300,68.80903244018555,200,ALLOWED,dummy,True,0,2,7
1741553955297,75.05273818969727,200,ALLOWED,dummy,True,0,2,5
1741553955323,77.67987251281738,200,ALLOWED,clean,True,0,0,2
1741553955323,84.56230163574219,200,ALLOWED,clean,True,0,0,1
1741553955365,78.49597930908203,200,ALLOWED,clean,True,0,0,13
1741553955315,135.28108596801758,200,BLOCKED,real,False,1,1,12
1741553955353,112.0917797088623,200,ALLOWED,dummy,True,0,2,6
1741553955389,82.48090744018555,200,ALLOWED,clean,True,0,0,11
1741553955365,112.35690116882324,200,ALLOWED,dummy,True,0,2,8
1741553955352,129.6098232269287,200,ALLOWED,dummy,True,0,2,9
1741553955451,93.50204467773438,200,ALLOWED,clean,True,0,0,2
1741553955368,191.8621063232422,200,BLOCKED,real,False,1,1,4
1741553955466,104.49886322021484,200,ALLOWED,dummy,True,0,2,15
1741553955416,162.64605522155762,200,ALLOWED,dummy,True,0,2,14
1741553955458,121.03009223937988,200,ALLOWED,clean,True,0,0,1
1741553955494,97.44477272033691,200,ALLOWED,clean,True,0,0,13
1741553955384,209.5801830291748,200,BLOCKED,real,False,1,1,10
1741553955423,187.5588893890381,200,BLOCKED,real,False,1,1,5
1741553955528,98.26898574829102,200,ALLOWED,clean,True,0,0,8
1741553955522,109.04693603515625,200,ALLOWED,clean,True,0,0,11
1741553955501,138.63325119018555,200,ALLOWED,clean,True,0,0,12
1741553955515,125.7331371307373,200,ALLOWED,dummy,True,0,2,6
1741553955567,78.4158706665039,200,ALLOWED,clean,True,0,0,17
1741553955419,233.0460548400879,200,BLOCKED,real,False,1,1,7
1741553955516,136.4579200744629,200,ALLOWED,clean,True,0,0,16
1741553955532,133.0239772796631,200,ALLOWED,clean,True,0,0,9
1741553955595,80.92975616455078,200,ALLOWED,dummy,True,0,2,2
1741553955417,266.0560607910156,200,BLOCKED,real,False,1,1,3
1741553955620,102.65398025512695,200,ALLOWED,dummy,True,0,2,15
1741553955629,124.6941089630127,200,ALLOWED,dummy,True,0,2,1
1741553955642,112.03908920288086,200,ALLOWED,clean,True,0,0,13
1741553955618,136.36302947998047,200,ALLOWED,dummy,True,0,2,18
1741553955610,150.2232551574707,200,BLOCKED,real,False,1,1,4
1741553955629,157.59897232055664,200,ALLOWED,dummy,True,0,2,14
1741553955644,184.3850612640381,200,BLOCKED,real,False,1,1,10
1741553955690,138.26799392700195,200,ALLOWED,dummy,True,0,2,12
1741553955660,176.6340732574463,200,ALLOWED,clean,True,0,0,5
1741553955676,185.02020835876465,200,ALLOWED,clean,True,0,0,8
1741553955716,231.2490940093994,200,ALLOWED,clean,True,0,0,9
1741553955774,174.02911186218262,200,ALLOWED,dummy,True,0,2,15
1741553955691,257.3390007019043,200,ALLOWED,dummy,True,0,2,6
1741553955733,216.65620803833008,200,ALLOWED,dummy,True,0,2,3
1741553955681,292.0820713043213,200,BLOCKED,real,False,1,1,11
1741553955703,277.19807624816895,200,ALLOWED,clean,True,0,0,16
1741553955769,212.78095245361328,200,ALLOWED,clean,True,0,0,21
1741553955811,174.1466522216797,200,ALLOWED,dummy,True,0,2,4
1741553955804,182.74903297424316,200,ALLOWED,dummy,True,0,2,1
1741553955668,364.9468421936035,200,BLOCKED,real,False,1,1,19
1741553955887,236.7720603942871,200,ALLOWED,dummy,True,0,2,5
1741553955919,207.62181282043457,200,ALLOWED,clean,True,0,0,24
1741553956021,146.69227600097656,200,ALLOWED,dummy,True,0,2,26
1741553956000,172.43313789367676,200,ALLOWED,clean,True,0,0,3
1741553955878,309.60893630981445,200,ALLOWED,clean,True,0,0,10
1741553956024,165.70687294006348,200,ALLOWED,clean,True,0,0,11
1741553955702,516.2298679351807,200,BLOCKED,real,False,1,1,7
1741553955969,251.97100639343262,200,ALLOWED,dummy,True,0,2,25
1741553956035,191.61319732666016,200,ALLOWED,dummy,True,0,2,4
1741553956030,197.18003273010254,200,ALLOWED,dummy,True,0,2,16
1741553956083,152.91309356689453,200,ALLOWED,clean,True,0,0,19
1741553955998,262.6039981842041,200,ALLOWED,dummy,True,0,2,15
1741553956123,137.97402381896973,200,ALLOWED,dummy,True,0,2,28
1741553956177,145.17903327941895,200,ALLOWED,dummy,True,0,2,24
1741553955804,521.4269161224365,200,BLOCKED,real,False,1,1,18
1741553956223,137.92800903320312,200,ALLOWED,dummy,True,0,2,3
1741553956173,206.32672309875488,200,ALLOWED,dummy,True,0,2,29
1741553956218,236.29379272460938,200,ALLOWED,dummy,True,0,2,26
1741553956278,195.53017616271973,200,ALLOWED,clean,True,0,0,16
1741553956287,193.634033203125,200,ALLOWED,dummy,True,0,2,19
1741553956272,219.53988075256348,200,ALLOWED,clean,True,0,0,25
1741553956277,215.41404724121094,200,ALLOWED,dummy,True,0,2,4
1741553955804,710.9427452087402,200,BLOCKED,real,False,1,1,13
1741553956373,183.1800937652588,200,ALLOWED,clean,True,0,0,24
1741553956424,150.24781227111816,200,ALLOWED,dummy,True,0,2,34
1741553956323,255.74088096618652,200,ALLOWED,dummy,True,0,2,32
1741553956374,212.43882179260254,200,ALLOWED,clean,True,0,0,33
1741553956430,183.1521987915039,200,ALLOWED,dummy,True,0,2,29
1741553955819,801.4419078826904,200,BLOCKED,real,False,1,1,22
1741553956524,132.537841796875,200,ALLOWED,clean,True,0,0,16
1741553956239,446.458101272583,200,BLOCKED,real,False,1,1,11
1741553956531,176.81407928466797,200,ALLOWED,clean,True,0,0,19
1741553956524,190.8397674560547,200,ALLOWED,clean,True,0,0,36
1741553956574,141.58201217651367,200,ALLOWED,clean,True,0,0,37
1741553956474,248.37493896484375,200,ALLOWED,dummy,True,0,2,35
1741553956565,157.87601470947266,200,ALLOWED,dummy,True,0,2,13
1741553956542,185.72211265563965,200,ALLOWED,clean,True,0,0,25
1741553956606,122.33114242553711,200,ALLOWED,clean,True,0,0,24
1741553956625,134.60397720336914,200,ALLOWED,dummy,True,0,2,34
1741553956630,132.78532028198242,200,ALLOWED,dummy,True,0,2,32
1741553955878,884.7310543060303,200,BLOCKED,real,False,1,1,12
1741553956671,118.97993087768555,200,ALLOWED,clean,True,0,0,22
1741553956663,157.29498863220215,200,ALLOWED,dummy,True,0,2,29
1741553956273,562.9091262817383,200,BLOCKED,real,False,1,1,31
1741553956726,115.72408676147461,200,ALLOWED,clean,True,0,0,40
1741553956707,143.233060836792,200,ALLOWED,dummy,True,0,2,16
1741553956773,138.77105712890625,200,ALLOWED,clean,True,0,0,35
1741553956776,135.43009757995605,200,ALLOWED,dummy,True,0,2,41
1741553956311,603.172779083252,200,BLOCKED,real,False,1,1,28
1741553956766,148.92005920410156,200,ALLOWED,clean,True,0,0,37
1741553956072,918.889045715332,200,BLOCKED,real,False,1,1,27
1741553956813,184.35406684875488,200,ALLOWED,clean,True,0,0,12
1741553956810,188.57502937316895,200,ALLOWED,dummy,True,0,2,34
1741553956269,796.2970733642578,200,BLOCKED,real,False,1,1,7
